model	bic
./mast_model_10/mast_model_10.iqtree	 673114.6137
./mast_model_11/mast_model_11.iqtree	 673476.7352
./mast_model_7/mast_model_7.iqtree	 672368.8521
./mast_model_9/mast_model_9.iqtree	 672980.4192
./mast_model_8/mast_model_8.iqtree	 672435.6294
./mast_model_6/mast_model_6.iqtree	 672623.3055
./mast_model_13/mast_model_13.iqtree	 674064.3183
./mast_model_14/mast_model_14.iqtree	 674348.6934
./mast_model_15/mast_model_15.iqtree	 674860.0336
./mast_model_12/mast_model_12.iqtree	 673795.3116
./mast_model_4/mast_model_4.iqtree	 672356.7706
./mast_model_3/mast_model_3.iqtree	 671993.4415
./mast_model_2/mast_model_2.iqtree	 672718.4020
./mast_model_5/mast_model_5.iqtree	 672208.9282
